#L TT           EE           TE
512 5.688861E+01 2.705683E-01 -1.428803E-01
513 5.445945E+01 2.664207E-01 -1.063166E-01
514 5.386944E+01 2.855849E-01 -1.460839E-01
515 5.598423E+01 2.589869E-01 -8.272239E-02
516 5.534180E+01 2.645942E-01 6.238598E-02
517 5.740110E+01 2.913295E-01 1.843100E-01
518 5.715196E+01 2.777072E-01 1.756992E-01
519 5.279394E+01 3.044739E-01 1.175377E-01
520 5.321108E+01 2.732759E-01 2.450430E-01
521 5.217306E+01 2.581447E-01 2.504905E-01
522 5.272317E+01 2.535104E-01 8.955511E-02
523 5.776885E+01 2.671989E-01 6.007734E-02
524 5.252242E+01 2.664973E-01 6.007990E-02
525 5.219491E+01 3.034719E-01 5.374862E-02
526 5.462962E+01 2.407479E-01 9.453721E-02
527 5.640142E+01 2.482950E-01 3.474616E-02
528 5.373556E+01 2.548027E-01 -6.888282E-02
529 5.182873E+01 2.509027E-01 1.083111E-02
530 5.145440E+01 2.337720E-01 4.673788E-02
531 5.136641E+01 2.441680E-01 9.190378E-03
532 5.144606E+01 2.342290E-01 5.984495E-02
533 5.140660E+01 2.563573E-01 1.300627E-02
534 5.272787E+01 2.608150E-01 2.723146E-02
535 5.230955E+01 2.565061E-01 1.212994E-01
536 5.187456E+01 2.684461E-01 6.536397E-02
537 5.237845E+01 2.624602E-01 6.145970E-02
538 5.334666E+01 2.497703E-01 2.840977E-01
539 5.263181E+01 2.889337E-01 2.360381E-01
540 5.848754E+01 2.552771E-01 4.040301E-02
541 5.669012E+01 2.547877E-01 2.219396E-01
542 6.754988E+01 2.314736E-01 1.496553E-01
543 5.394140E+01 2.245922E-01 5.751804E-02
544 5.508959E+01 2.401093E-01 5.107178E-02
545 5.462609E+01 2.548108E-01 -3.297833E-02
546 5.529423E+01 2.480613E-01 1.091776E-01
547 6.358396E+01 2.248266E-01 3.410762E-01
548 6.884330E+01 2.518427E-01 1.569557E-01
549 5.707577E+01 2.424837E-01 4.327656E-02
550 5.848725E+01 2.348354E-01 2.372961E-02
551 5.781095E+01 2.311470E-01 -5.014270E-02
552 6.068635E+01 2.665066E-01 2.221411E-02
553 5.953641E+01 2.748830E-01 -1.693786E-02
554 6.239008E+01 2.523116E-01 -4.873559E-02
555 6.168778E+01 2.547017E-01 6.107543E-02
556 5.883118E+01 2.566441E-01 1.646213E-02
