#L TT           EE           TE
520 3.796632E+00 9.478106E-03 9.214828E-05
521 5.875447E+00 2.435086E-02 -3.782993E-03
522 2.729147E+01 1.000583E-02 4.267705E-03
523 8.516062E+00 3.765178E-02 1.267385E-02
524 1.047526E+01 3.433558E-02 1.655670E-02
525 9.196303E+00 2.246629E-02 2.068695E-02
526 2.696949E+01 9.581915E-03 7.800378E-03
527 9.199606E+00 1.778161E-02 -9.842571E-03
528 1.676370E+01 1.406737E-02 1.296731E-02
529 6.991965E+00 3.686555E-02 3.973320E-03
530 9.499143E+00 2.083501E-02 1.433892E-02
531 4.206622E+00 1.588801E-02 1.038929E-02
532 8.127289E+00 1.387879E-02 -2.070509E-02
533 1.491003E+01 9.828638E-02 -8.312916E-03
534 2.410781E+01 7.386535E-03 5.418471E-04
